,Cities,Bedrooms,Bathrooms,Living Space (SQ FT),Price,Zestimate
0,Argyle,3.0,2.0,1915.0,374990.0,NaN
1,Argyle,4.0,3.0,2513.0,409990.0,NaN
2,Denton,3.0,3.0,2414.0,469900.0,NaN
3,Denton,3.0,2.0,2074.0,512000.0,NaN
4,Denton,3.0,2.0,1569.0,375000.0,NaN
5,Denton,5.0,4.0,3948.0,499900.0,499901
6,Denton,3.0,2.0,1859.0,303000.0,303001
7,Denton,5.0,4.0,3280.0,734900.0,734902
8,Denton,3.0,3.0,1922.0,543733.0,NaN
9,Denton,4.0,3.0,2088.0,389490.0,NaN
10,Argyle,NaN,NaN,NaN,399000.0,NaN
11,Denton,3.0,3.0,2736.0,575000.0,569603
12,Argyle,4.0,3.0,3093.0,460000.0,460003
13,Argyle,4.0,3.0,2764.0,469999.0,470000
14,Argyle,4.0,2.0,2106.0,370990.0,NaN
15,Denton,2.0,3.0,3092.0,1189000.0,1189008
16,Denton,3.0,2.0,1532.0,356990.0,NaN
17,Argyle,3.0,2.0,2010.0,360990.0,NaN
18,Denton,4.0,5.0,3677.0,749999.0,NaN
19,Denton,5.0,3.0,3173.0,729000.0,734879
20,Abilene,4.0,3.0,2463.0,227000.0,224008
21,Abilene,3.0,2.0,1527.0,189000.0,189000
22,Abilene,3.0,2.0,1210.0,200000.0,NaN
23,Abilene,5.0,3.0,3319.0,335000.0,NaN
24,Abilene,2.0,1.0,1078.0,135000.0,135000
25,Abilene,3.0,2.0,1812.0,334900.0,NaN
26,Abilene,2.0,2.0,971.0,142500.0,NaN
27,Abilene,3.0,2.0,1431.0,165000.0,165000
28,Abilene,5.0,4.0,3825.0,525000.0,503999
29,Abilene,3.0,2.0,1564.0,269900.0,265810
30,Abilene,5.0,3.0,3606.0,500000.0,490510
31,Abilene,3.0,2.0,1949.0,365000.0,359469
32,Abilene,1.0,1.0,753.0,125000.0,103300
33,Abilene,3.0,2.0,1278.0,224900.0,220666
34,Abilene,NaN,NaN,NaN,110000.0,NaN
35,Abilene,3.0,2.0,1260.0,199900.0,NaN
36,Abilene,2.0,2.0,1004.0,114900.0,NaN
37,Abilene,4.0,2.0,3025.0,625000.0,605419
38,Abilene,5.0,8.0,5581.0,1420000.0,NaN
39,Abilene,NaN,NaN,NaN,80900.0,NaN
40,Fort Worth,3.0,1.0,1089.0,200000.0,145200
41,Fort Worth,3.0,3.0,2076.0,324900.0,NaN
42,Fort Worth,4.0,3.0,1991.0,335000.0,309800
43,Fort Worth,3.0,2.0,1106.0,230000.0,NaN
44,Fort Worth,3.0,3.0,1971.0,310000.0,310001
45,Fort Worth,4.0,3.0,2112.0,327000.0,327002
46,Fort Worth,3.0,2.0,1998.0,300000.0,NaN
47,Fort Worth,4.0,2.0,2601.0,450000.0,454285
48,Fort Worth,4.0,4.0,4344.0,999000.0,NaN
49,Fort Worth,3.0,3.0,2491.0,439000.0,NaN
50,Fort Worth,4.0,4.0,2658.0,370000.0,372466
51,Fort Worth,3.0,2.0,1945.0,425000.0,428642
52,Fort Worth,4.0,3.0,2253.0,298900.0,275700
53,Fort Worth,3.0,2.0,1907.0,315000.0,NaN
54,Fort Worth,2.0,1.0,1324.0,340000.0,344250
55,Fort Worth,3.0,4.0,2700.0,455000.0,460802
56,Fort Worth,4.0,3.0,3088.0,825000.0,NaN
57,Fort Worth,4.0,3.0,3209.0,479900.0,479904
58,Fort Worth,3.0,2.0,1444.0,299900.0,NaN
59,Fort Worth,3.0,2.0,2219.0,431990.0,NaN
60,Waco,3.0,2.0,1316.0,239900.0,154000
61,Waco,3.0,2.0,1550.0,219900.0,219900
62,Waco,3.0,3.0,1556.0,285000.0,278048
63,Waco,4.0,4.0,2835.0,366000.0,356690
64,Waco,4.0,1.0,1486.0,215000.0,215000
65,Waco,4.0,2.0,1504.0,295000.0,148700
66,Waco,4.0,2.0,2001.0,365000.0,NaN
67,Waco,3.0,2.0,1664.0,249900.0,249273
68,Waco,3.0,1.0,1432.0,100000.0,119000
69,Waco,3.0,2.0,1522.0,274900.0,274901
70,Waco,4.0,3.0,2016.0,429000.0,417083
71,Waco,2.0,2.0,1318.0,214900.0,214901
72,China Spring,3.0,2.0,1263.0,248990.0,248990
73,Waco,4.0,2.0,1667.0,305000.0,297600
74,Waco,3.0,1.0,1122.0,150000.0,135100
75,Waco,2.0,2.0,2234.0,408200.0,403604
76,Waco,3.0,1.0,1436.0,119900.0,105400
77,Waco,5.0,4.0,4301.0,935000.0,911625
78,Waco,3.0,1.0,1080.0,109000.0,NaN
79,China Spring,4.0,2.0,1612.0,275990.0,275990
80,Leander,4.0,4.0,2870.0,675000.0,685100
81,Round Rock,0.0,1.0,1264.0,199000.0,NaN
82,Round Rock,5.0,3.0,2992.0,620000.0,NaN
83,Round Rock,3.0,2.0,2050.0,425000.0,NaN
84,Round Rock,3.0,3.0,1950.0,625000.0,NaN
85,Round Rock,4.0,4.0,3466.0,585000.0,NaN
86,Round Rock,4.0,3.0,2277.0,564900.0,NaN
87,Round Rock,4.0,4.0,2955.0,830000.0,827815
88,Round Rock,3.0,3.0,2150.0,475000.0,NaN
89,Round Rock,3.0,2.0,2642.0,560000.0,NaN
90,Round Rock,3.0,3.0,2761.0,625000.0,NaN
91,Round Rock,4.0,2.0,2132.0,499000.0,NaN
92,Round Rock,4.0,3.0,2895.0,563000.0,NaN
93,Round Rock,4.0,3.0,2092.0,449990.0,447735
94,Hutto,5.0,3.0,3357.0,569999.0,NaN
95,Round Rock,4.0,3.0,2762.0,578990.0,575077
96,Round Rock,5.0,6.0,5706.0,1695000.0,NaN
97,Round Rock,3.0,2.0,2018.0,470000.0,NaN
98,Round Rock,4.0,3.0,2465.0,495000.0,NaN
99,Hutto,3.0,2.0,1722.0,420000.0,NaN
100,Irving,3.0,4.0,2241.0,420000.0,420003
101,Irving,3.0,4.0,3070.0,575000.0,575004
102,Irving,1.0,1.0,861.0,269900.0,266600
103,Irving,10.0,14.0,12098.0,4995000.0,NaN
104,Irving,3.0,4.0,2110.0,469900.0,469903
105,Irving,3.0,3.0,1473.0,295000.0,NaN
106,Irving,3.0,2.0,1439.0,250000.0,259781
107,Irving,4.0,6.0,4146.0,1078000.0,NaN
108,Irving,3.0,3.0,2296.0,560000.0,561546
109,Irving,4.0,4.0,4145.0,1024000.0,1048335
110,Irving,NaN,NaN,NaN,645000.0,NaN
111,Irving,4.0,3.0,1956.0,350000.0,350003
112,Irving,3.0,2.0,1264.0,395000.0,355801
113,Irving,4.0,4.0,2942.0,515000.0,515003
114,Irving,3.0,3.0,2456.0,3500000.0,NaN
115,Irving,NaN,NaN,NaN,209000.0,NaN
116,Irving,3.0,3.0,1600.0,235000.0,236068
117,Irving,3.0,4.0,2678.0,595000.0,595004
118,Irving,4.0,3.0,2352.0,499000.0,500141
119,Grand Prairie,4.0,3.0,1741.0,330000.0,330001
120,Austin,4.0,4.0,3065.0,1350000.0,NaN
121,Austin,3.0,3.0,2636.0,1675000.0,NaN
122,Austin,3.0,2.0,1704.0,349900.0,349902
123,Austin,3.0,2.0,1025.0,825000.0,825006
124,Austin,3.0,2.0,1240.0,799000.0,NaN
125,Austin,3.0,2.0,1346.0,395000.0,NaN
126,Austin,4.0,4.0,3641.0,1030000.0,NaN
127,Austin,3.0,3.0,1703.0,485000.0,NaN
128,Austin,4.0,4.0,3051.0,975000.0,963602
129,Austin,4.0,4.0,4986.0,3200000.0,NaN
130,Austin,4.0,4.0,2920.0,875000.0,NaN
131,Austin,3.0,3.0,2211.0,839000.0,839007
132,Austin,3.0,3.0,1613.0,900000.0,NaN
133,Austin,4.0,3.0,2472.0,599990.0,NaN
134,Austin,5.0,7.0,5532.0,3295000.0,NaN
135,Austin,5.0,4.0,3129.0,995000.0,NaN
136,Austin,3.0,3.0,1687.0,414900.0,NaN
137,Austin,4.0,3.0,2544.0,1430000.0,NaN
138,Austin,3.0,2.0,1668.0,535000.0,NaN
139,Austin,2.0,2.0,1592.0,1220000.0,1296300
140,San Marcos,3.0,5.0,1808.0,557900.0,NaN
141,San Marcos,3.0,2.0,1500.0,384888.0,NaN
